Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Apple inc,AAPL,"",1026223983.0,145210694000.0,4.06343,3.9216,1,-2474333.0,-0.24053,reduction,6.2081892,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2021,35.68,153.49
Microsoft corp.,MSFT,"",507117032.0,142966433000.0,4.00063,3.8128,2,1454532.0,0.287649,addition,6.7481620,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2021,71.5252,339.12
Amazon.com inc.,AMZN,"",28129970.0,92408079000.0,2.58586,2.6378,3,582066.0,2.112923,addition,5.5544469,Q4 2008,CONSUMER DISCRETIONARY,13F,09/30/2021,1094.4945,3549.0
Alphabet inc. class a,GOOGL,"",20380976.0,54488946000.0,1.52477,1.3759,4,136998.0,0.676735,addition,6.7691852,Q3 2007,COMMUNICATIONS,13F,09/30/2021,900.3397,2960.94
Facebook inc,FB,"",155888681.0,52907057000.0,1.4805,1.5042,5,464173.0,0.298649,addition,6.5394697,Q2 2012,COMMUNICATIONS,13F,09/30/2021,148.54,340.77
Alphabet inc. class c,GOOG,"",18990952.0,50616774000.0,1.41641,1.3334,6,-123307.0,-0.645105,reduction,5.9315493,Q2 2014,COMMUNICATIONS,13F,09/30/2021,855.58,2981.24
Tesla inc,TSLA,"",52829488.0,40968213000.0,1.14641,0.9545,7,2377179.0,4.711735,addition,5.3362302,Q3 2010,CONSUMER DISCRETIONARY,13F,09/30/2021,251.9666,1089.01
Nvidia corp.,NVDA,"",174248282.0,36097274000.0,1.01011,0.9598,8,1850026.0,1.073112,addition,6.9923067,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2021,162.5809,292.61
Johnson & johnson co.,JNJ,"",195038467.0,31498715000.0,0.881429,0.8776,9,3653357.0,1.908903,addition,7.4089190,Q3 2007,HEALTH CARE,13F,09/30/2021,125.8898,163.28
Jpmorgan chase & co. (chemical bank),JPM,"",192291314.0,31476166000.0,0.880798,0.8538,10,-4929791.0,-2.499626,reduction,6.4351177,Q3 2007,FINANCE,13F,09/30/2021,89.04,164.47
Berkshire hathaway inc class b,BRK.B,"",105159443.0,28702217000.0,0.803175,0.8336,11,-2594729.0,-2.408008,reduction,7.9343275,Q3 2007,FINANCE,13F,09/30/2021,169.54,281.59
Visa inc,V,"",126591271.0,28198208000.0,0.789071,0.8085,12,2370237.0,1.90808,addition,7.4826110,Q2 2008,FINANCE,13F,09/30/2021,98.6087,205.06
Ishares core s&p 500 etf,IVV,"",64224717.0,27669294000.0,0.77427,0.7319,13,3058856.0,5.00092,addition,No Data,Q4 2009,FINANCE,13F,09/30/2021,256.8501,470.04
Unitedhealth group inc.,UNH,"",69706545.0,27237133000.0,0.762177,0.7694,14,679255.0,0.984038,addition,7.3926462,Q4 2008,HEALTH CARE,13F,09/30/2021,174.7752,448.95
Home depot  inc. (the),HD,"",70354019.0,23094407000.0,0.646251,0.6295,15,-565801.0,-0.797804,reduction,6.6663609,Q3 2007,CONSUMER DISCRETIONARY,13F,09/30/2021,150.02,394.85
Mastercard inc,MA,"",65666413.0,22830900000.0,0.638878,0.6745,16,-707569.0,-1.066034,reduction,6.7086718,Q3 2007,FINANCE,13F,09/30/2021,124.0,359.17
Procter & gamble co. (oh) (1905),PG,"",155027422.0,21672832000.0,0.606471,0.5851,17,-755010.0,-0.484657,reduction,6.3841544,Q3 2007,CONSUMER STAPLES,13F,09/30/2021,90.19,147.1
