Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Apple inc,AAPL,"",1264936543.0,173245709000.0,4.3113,4.0952,1,25553808.0,2.061817,addition,7.6522918,Q2 2002,INFORMATION TECHNOLOGY,"","",8.4301
Microsoft corp.,MSFT,"",610974647.0,165513033000.0,4.1189,3.8958,2,124655.0,0.020407,addition,8.1301861,Q2 2002,INFORMATION TECHNOLOGY,"","",45.626
Amazon.com inc.,AMZN,"",32727219.0,112586869000.0,2.8018,2.7297,3,112965.0,0.346367,addition,6.4622039,Q2 2002,CONSUMER DISCRETIONARY,"","",554.9235
Facebook inc,FB,"",182466282.0,63445350000.0,1.5789,1.4592,4,-690513.0,-0.377006,reduction,7.6543898,Q2 2012,COMMUNICATIONS,"","",82.83
Alphabet inc. class a,GOOGL,"",22768388.0,55595623000.0,1.3835,1.2712,5,-16697.0,-0.07328,reduction,7.5621224,Q3 2004,COMMUNICATIONS,"","",499.36
Alphabet inc. class c,GOOG,"",21272689.0,53316166000.0,1.3268,1.2044,6,-250253.0,-1.162727,reduction,6.6442169,Q2 2014,COMMUNICATIONS,"","",670.57
Jpmorgan chase & co. (chemical bank),JPM,"",263376146.0,40965526000.0,1.0195,1.0833,7,308017.0,0.117086,addition,8.8140045,Q2 2002,FINANCE,"","",59.3227
Tesla inc,TSLA,"",58931414.0,40055683000.0,0.9968,1.0587,8,334675.0,0.57115,addition,5.9525769,Q3 2010,CONSUMER DISCRETIONARY,"","",220.0055
Nvidia corp.,NVDA,"",193272804.0,38659392000.0,0.9621,0.6931,9,1331968.0,0.693947,addition,7.7557305,Q2 2002,INFORMATION TECHNOLOGY,"","",41.0532
Johnson & johnson co.,JNJ,"",231432368.0,38126168000.0,0.9488,1.0213,10,1701721.0,0.740746,addition,8.7914128,Q2 2002,HEALTH CARE,"","",84.961
Berkshire hathaway inc class b,BRK.B,"",134610539.0,37410960000.0,0.931,0.9384,11,-1180121.0,-0.869074,reduction,10.1564261,Q2 2002,FINANCE,"","",126.33
Visa inc,V,"",143191304.0,33480991000.0,0.8332,0.8197,12,64677.0,0.045189,addition,8.4638128,Q2 2008,FINANCE,"","",70.8237
Unitedhealth group inc.,UNH,"",78566857.0,31461311000.0,0.7829,0.7917,13,-91377.0,-0.11617,reduction,8.3323163,Q2 2002,HEALTH CARE,"","",108.92
Home depot  inc. (the),HD,"",92843016.0,29606709000.0,0.7368,0.7712,14,-560473.0,-0.600056,reduction,8.7319332,Q2 2002,CONSUMER DISCRETIONARY,"","",81.5
Procter & gamble co. (oh) (1905),PG,"",214832442.0,28987342000.0,0.7214,0.7871,15,-13079.0,-0.006088,reduction,8.7750006,Q2 2002,CONSUMER STAPLES,"","",71.37
Paypal holdings inc,PYPL,"",93302393.0,27195782000.0,0.6768,0.6105,16,359689.0,0.387001,addition,7.9404119,Q3 2015,COMMUNICATIONS,"","",44.6951
Bank of america corp. (north carolina national bank),BAC,"",622744096.0,25675738000.0,0.639,0.6506,17,1140285.0,0.183442,addition,7.4004897,Q2 2002,FINANCE,"","",20.4481
Mastercard inc,MA,"",70099379.0,25592582000.0,0.6369,0.6761,18,-95726.0,-0.136371,reduction,7.1615565,Q2 2006,FINANCE,"","",88.22
Walt disney co. (the),DIS,"",136666060.0,24021793000.0,0.5978,0.6775,19,940877.0,0.693222,addition,7.5209983,Q2 2002,COMMUNICATIONS,"","",67.7687
Adobe systems  inc.,ADBE,"",38170875.0,22354391000.0,0.5563,0.491,20,-10755.0,-0.028168,reduction,8.0123583,Q2 2002,INFORMATION TECHNOLOGY,"","",77.54
Comcast corp.  class a,CMCSA,"",391480518.0,22322220000.0,0.5555,0.5672,21,3978161.0,1.026616,addition,8.5470630,Q4 2002,COMMUNICATIONS,"","",27.2457
Exxonmobil corp. (standard oil of new jersey),XOM,"",353122370.0,22274960000.0,0.5543,0.5277,22,3683303.0,1.054062,addition,8.3410210,Q2 2002,ENERGY,"","",70.3039
Intel corp.,INTC,"",337719509.0,18959572000.0,0.4718,0.584,23,415995.0,0.12333,addition,8.3243655,Q2 2002,INFORMATION TECHNOLOGY,"","",26.5964
Coca cola co.,KO,"",343527606.0,18588279000.0,0.4626,0.4842,24,3940364.0,1.160339,addition,7.9673713,Q2 2002,CONSUMER STAPLES,"","",29.4264
Walmart inc,WMT,"",131332067.0,18520449000.0,0.4609,0.4795,25,843376.0,0.646321,addition,4.6868390,Q2 2002,CONSUMER STAPLES,"","",68.7968
Verizon communications (bell atlantic corp.),VZ,"",322781339.0,18085438000.0,0.4501,0.5049,26,1818309.0,0.566517,addition,7.7964322,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",44.5451
Pepsico inc. (loft  inc.),PEP,"",120742994.0,17890489000.0,0.4452,0.4588,27,842482.0,0.702651,addition,8.7361036,Q2 2002,CONSUMER STAPLES,"","",78.7478
Pfizer  inc.,PFE,"",456203630.0,17864934000.0,0.4446,0.4419,28,5289511.0,1.173064,addition,8.1498496,Q2 2002,HEALTH CARE,"","",29.098
Cisco systems  inc.,CSCO,"",334670666.0,17737546000.0,0.4414,0.4659,29,1579250.0,0.474119,addition,7.9414906,Q2 2002,INFORMATION TECHNOLOGY,"","",22.2757
Netflix inc,NFLX,"",33372371.0,17627620000.0,0.4387,0.4693,30,113836.0,0.342276,addition,7.5538135,Q2 2002,COMMUNICATIONS,"","",134.966
Merck & co,MRK,"",225553790.0,17541317000.0,0.4365,0.4696,31,-10462023.59,-4.432764,reduction,8.9103281,Q2 2002,HEALTH CARE,"","",47.79
Salesforce.com inc.,CRM,"",71205534.0,17393375000.0,0.4328,0.4064,32,299606.0,0.42254,addition,7.6895825,Q3 2004,INFORMATION TECHNOLOGY,"","",82.9815
Abbott laboratories,ABT,"",147844584.0,17139623000.0,0.4265,0.4751,33,1276670.0,0.871043,addition,8.3395271,Q2 2002,HEALTH CARE,"","",39.3768
Broadcom ltd. (avago technologies),AVGO,"",35753432.0,17048667000.0,0.4243,0.4576,34,-730872.0,-2.00325,reduction,8.7566574,Q3 2009,INFORMATION TECHNOLOGY,"","",167.09
Chevron corp. (standard oil of california),CVX,"",161501973.0,16915716000.0,0.421,0.4424,35,5427422.0,3.477455,addition,8.3510510,Q2 2002,ENERGY,"","",83.6243
At&t inc. (southwestern bell - sbc corp.),T,"",567066411.0,16320170000.0,0.4061,0.46,36,5314844.0,0.94612,addition,7.9421066,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",33.3567
Abbvie inc,ABBV,"",144693566.0,16298283000.0,0.4056,0.4208,37,959620.0,0.667636,addition,8.1747777,Q4 2012,HEALTH CARE,"","",
Accenture plc,ACN,"",54883338.0,16179060000.0,0.4026,0.4168,38,-896212.0,-1.606704,reduction,8.2354037,Q2 2003,INFORMATION TECHNOLOGY,"","",87.8
Nike inc.,NKE,"",104646829.0,16166888000.0,0.4023,0.3744,39,483565.0,0.464238,addition,8.1877717,Q2 2002,CONSUMER DISCRETIONARY,"","",43.9532
Texas instruments  inc.,TXN,"",83889579.0,16131966000.0,0.4015,0.4263,40,503923.0,0.604328,addition,9.0867280,Q2 2002,INFORMATION TECHNOLOGY,"","",46.2029
Lilly (eli) & co.,LLY,"",68969548.0,15829891000.0,0.3939,0.3501,41,-317415.0,-0.458116,reduction,7.1916286,Q2 2002,HEALTH CARE,"","",63.89
American tower corp.  class a,AMT,"",57918458.0,15646092000.0,0.3894,0.3669,42,1177194.0,2.07467,addition,12.7253802,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",111.8441
Thermo fisher scientific  inc.,TMO,"",30713445.0,15494012000.0,0.3856,0.3809,43,-138634.0,-0.449351,reduction,7.8068047,Q2 2002,HEALTH CARE,"","",103.83
Wells fargo & co.  (northwest bancorporation),WFC,"",333351225.0,15097477000.0,0.3757,0.3459,44,6093261.0,1.861914,addition,8.1107354,Q2 2002,FINANCE,"","",34.2653
Mcdonalds corp.,MCD,"",64566949.0,14914319000.0,0.3712,0.3892,45,380830.0,0.593321,addition,8.6458284,Q2 2002,CONSUMER DISCRETIONARY,"","",83.4454
Qualcomm inc.,QCOM,"",102838530.0,14698711000.0,0.3658,0.3689,46,-18512.0,-0.017998,reduction,9.1168910,Q2 2002,INFORMATION TECHNOLOGY,"","",52.91
Costco co.,COST,"",37004912.0,14641734000.0,0.3644,0.3514,47,152221.0,0.413053,addition,8.3708436,Q2 2002,CONSUMER STAPLES,"","",112.908
Medtronic plc,MDT,"",111779290.0,13875162000.0,0.3453,0.3549,48,717126.0,0.645698,addition,8.3175045,Q2 2002,HEALTH CARE,"","",63.9287
Danaher corp.,DHR,"",49369413.0,13248776000.0,0.3297,0.2989,49,270880.0,0.551707,addition,6.9154564,Q4 2019,HEALTH CARE,"","",154.2098
United parcel service  inc. class b,UPS,"",63491599.0,13204348000.0,0.3286,0.2883,50,786606.0,1.254455,addition,8.7179055,Q2 2002,TRANSPORTS,"","",90.632
Bristol-myers squibb co,BMY,"",197341430.0,13186355000.0,0.3282,0.3358,51,676121.0,0.343793,addition,8.8807986,Q2 2002,HEALTH CARE,"","",48.4133
Nextera energy inc.,NEE,"",176557077.0,12938103000.0,0.322,0.359,52,1047015.0,0.596556,addition,9.0013776,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",26.3102
Oracle corp,ORCL,"",159865059.0,12443896000.0,0.3097,0.308,53,-2375210.0,-1.464008,reduction,5.7258259,Q2 2002,INFORMATION TECHNOLOGY,"","",25.35
Philip morris international inc,PM,"",124832982.0,12372196000.0,0.3079,0.2966,54,1269844.0,1.027688,addition,8.0096258,Q1 2008,CONSUMER STAPLES,"","",68.8213
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",56017241.0,12287383000.0,0.3058,0.3272,55,300010.0,0.538451,addition,8.1137457,Q2 2002,INDUSTRIALS,"","",79.3041
Linde plc (praxair inc.),LIN,"",42375739.0,12250827000.0,0.3049,0.3245,56,-448602.0,-1.04754,reduction,8.2058114,Q2 2002,MATERIALS,"","",120.45
Union pacific corp.,UNP,"",54836709.0,12060238000.0,0.3001,0.3284,57,-240944.0,-0.437462,reduction,8.4089527,Q2 2002,TRANSPORTS,"","",73.94
Citigroup  inc.,C,"",169883300.0,12019243000.0,0.2991,0.3343,58,9716.0,0.00572,addition,8.3819095,Q2 2002,FINANCE,"","",3775.9781
Lowes companies  inc.,LOW,"",59322453.0,11506775000.0,0.2864,0.3117,59,-1269064.0,-2.094458,reduction,8.3920329,Q2 2002,CONSUMER DISCRETIONARY,"","",34.7
Amgen  inc.,AMGN,"",47110872.0,11483275000.0,0.2858,0.3177,60,-95032.0,-0.201314,reduction,8.2963242,Q2 2002,HEALTH CARE,"","",90.11
Prologis  inc.,PLD,"",95403510.0,11403582000.0,0.2838,0.2714,61,753189.0,0.79576,addition,12.9054286,Q2 2002,REAL ESTATE,"","",50.2116
Morgan stanley,MS,"",120629590.0,11060527000.0,0.2752,0.2542,62,-392396.0,-0.324235,reduction,6.4834053,Q2 2002,FINANCE,"","",43.1
International business machines corp.,IBM,"",74774326.0,10961169000.0,0.2728,0.2693,63,77582.0,0.103863,addition,8.3423688,Q2 2002,INFORMATION TECHNOLOGY,"","",118.2095
Raytheon technologies corp. (united technologies),RTX,"",128386298.0,10952635000.0,0.2726,0.2658,64,1201358.0,0.944576,addition,8.5143686,Q2 2002,INDUSTRIALS,"","",55.353
Starbucks corp.,SBUX,"",97136962.0,10860884000.0,0.2703,0.2847,65,828102.0,0.85984,addition,8.2382293,Q2 2002,CONSUMER DISCRETIONARY,"","",42.6943
Crown castle international corp,CCI,"",55371690.0,10803017000.0,0.2688,0.2556,66,475386.0,0.865971,addition,12.8116977,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",90.8329
Blackrock inc. class a,BLK,"",12124607.0,10608668000.0,0.264,0.2464,67,43970.0,0.363971,addition,7.9664534,Q2 2002,FINANCE,"","",346.2743
Applied materials inc.,AMAT,"",73525390.0,10470015000.0,0.2606,0.265,68,190682.0,0.260016,addition,8.0445228,Q2 2002,INFORMATION TECHNOLOGY,"","",21.9931
Intuit  inc.,INTU,"",21160590.0,10372288000.0,0.2581,0.2208,69,-149731.0,-0.702622,reduction,7.7437777,Q2 2002,INFORMATION TECHNOLOGY,"","",87.42
Target corp.,TGT,"",42771271.0,10339527000.0,0.2573,0.2296,70,-76007.0,-0.17739,reduction,8.7638864,Q2 2002,CONSUMER DISCRETIONARY,"","",57.48
Caterpillar inc.,CAT,"",47434967.0,10323272000.0,0.2569,0.2902,71,1165504.0,2.518949,addition,8.6643725,Q2 2002,INDUSTRIALS,"","",87.654
Boeing company,BA,"",42607731.0,10207107000.0,0.254,0.2923,72,186553.0,0.439764,addition,7.2690596,Q2 2002,INDUSTRIALS,"","",107.7198
Goldman sachs group inc,GS,"",26135416.0,9919175000.0,0.2468,0.2309,73,29825.0,0.114248,addition,7.7530735,Q2 2002,FINANCE,"","",138.3655
Equinix inc,EQIX,"",11515195.0,9242096000.0,0.23,0.2088,74,157749.0,1.388948,addition,12.8302712,Q2 2002,INFORMATION TECHNOLOGY,"","",301.4113
3m co. (minnesota mining & manufacturing),MMM,"",46132978.0,9163394000.0,0.228,0.239,75,283222.0,0.617718,addition,7.9726803,Q2 2002,INDUSTRIALS,"","",105.1176
Advanced micro devices inc,AMD,"",97500198.0,9158193000.0,0.2279,0.2059,76,542195.0,0.559206,addition,8.0381689,Q2 2002,INFORMATION TECHNOLOGY,"","",14.713
Cvs health corp. (melville shoe),CVS,"",107495739.0,8969445000.0,0.2232,0.2164,77,1170549.0,1.100914,addition,8.1462410,Q2 2002,CONSUMER STAPLES,"","",52.916
General electric co,GE,"",82078634.0,8838227000.0,0.2199,0.2316,78,579141.37,0.710607,addition,7.4775813,Q2 2002,INDUSTRIALS,"","",32.5638
Servicenow inc,NOW,"",15703111.0,8629644000.0,0.2148,0.211,79,103215.0,0.661639,addition,7.9268607,Q3 2012,INFORMATION TECHNOLOGY,"","",143.2085
Intuitive surgical inc,ISRG,"",27608799.0,8463385000.0,0.2106,0.1827,80,182883.0,0.666825,addition,7.7401540,Q2 2002,HEALTH CARE,"","",300.0019
Charles schwab corp,SCHW,"",115044473.0,8376388000.0,0.2085,0.2008,81,1140653.0,1.001418,addition,6.3664152,Q2 2002,FINANCE,"","",31.1967
S&p global inc. (mcgraw-hill inc.),SPGI,"",20050508.0,8229730000.0,0.2048,0.1906,82,82465.0,0.412985,addition,8.3197129,Q2 2002,COMMUNICATIONS,"","",69.5479
Lockheed martin corp.,LMT,"",21365196.0,8083522000.0,0.2012,0.2147,83,-116470.0,-0.542183,reduction,7.7153932,Q2 2002,INDUSTRIALS,"","",155.56
