Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Apple inc,AAPL,"",1266332667.0,179186073000.0,4.44838,4.3113,1,1396124.0,0.110371,addition,7.6607378,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,8.5767,153.49
Microsoft corp.,MSFT,"",613781686.0,173037334000.0,4.29574,4.1189,2,2807039.0,0.459436,addition,8.1675392,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,46.7106,339.12
Amazon.com inc.,AMZN,"",33280421.0,109327513000.0,2.71411,2.8018,3,553202.0,1.690342,addition,6.5714373,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,600.3013,3549.0
Facebook inc,FB,"",182892992.0,62072054000.0,1.54097,1.5789,4,426710.0,0.233857,addition,7.6722901,Q2 2012,COMMUNICATIONS,13F,09/30/2021,83.4286,340.77
Alphabet inc. class a,GOOGL,"",22961780.0,61388778000.0,1.52401,1.3835,5,193392.0,0.849388,addition,7.6263542,Q3 2004,COMMUNICATIONS,13F,09/30/2021,517.6715,2960.94
Alphabet inc. class c,GOOG,"",21152232.0,56377256000.0,1.39959,1.3268,6,-120457.0,-0.566252,reduction,6.6065939,Q2 2014,COMMUNICATIONS,13F,09/30/2021,670.57,2981.24
Tesla inc,TSLA,"",61992012.0,48073565000.0,1.19345,0.9968,7,3060598.0,5.193492,addition,6.2617235,Q3 2010,CONSUMER DISCRETIONARY,13F,09/30/2021,247.434,1089.01
Jpmorgan chase & co. (chemical bank),JPM,"",260594509.0,42656714000.0,1.05897,1.0195,8,-2781637.0,-1.056146,reduction,8.7209157,Q2 2002,FINANCE,13F,09/30/2021,59.32,164.47
Nvidia corp.,NVDA,"",194847654.0,40364641000.0,1.00207,0.9621,9,1574850.0,0.814833,addition,7.8189267,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,165.9681,292.61
Johnson & johnson co.,JNJ,"",233479175.0,37706888000.0,0.936092,0.9488,10,2046807.0,0.884408,addition,8.8691648,Q2 2002,HEALTH CARE,13F,09/30/2021,85.631,163.28
Berkshire hathaway inc class b,BRK.B,"",133072464.0,36320799000.0,0.901682,0.931,11,-1538075.0,-1.142611,reduction,10.0403776,Q2 2002,FINANCE,13F,09/30/2021,126.33,281.59
Visa inc,V,"",144193636.0,32119133000.0,0.797373,0.8332,12,1002332.0,0.699995,addition,8.5230591,Q2 2008,FINANCE,13F,09/30/2021,71.8761,205.06
Unitedhealth group inc.,UNH,"",79168051.0,30934125000.0,0.767955,0.7829,13,601194.0,0.765201,addition,8.3960752,Q2 2002,HEALTH CARE,13F,09/30/2021,111.0601,448.95
Home depot  inc. (the),HD,"",93262644.0,30614395000.0,0.760017,0.7368,14,419628.0,0.451976,addition,8.8370565,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,82.6103,394.85
Procter & gamble co. (oh) (1905),PG,"",214745187.0,30021377000.0,0.745296,0.7214,15,-87255.0,-0.040615,reduction,8.8433802,Q2 2002,CONSUMER STAPLES,13F,09/30/2021,71.37,147.1
Bank of america corp. (north carolina national bank),BAC,"",614828574.0,26099472000.0,0.647932,0.639,16,-7915522.0,-1.271071,reduction,7.3064242,Q2 2002,FINANCE,13F,09/30/2021,20.45,46.51
Paypal holdings inc,PYPL,"",93894135.0,24432193000.0,0.606541,0.6768,17,591742.0,0.63422,addition,7.9907716,Q3 2015,COMMUNICATIONS,13F,09/30/2021,46.0582,206.27
Mastercard inc,MA,"",70214114.0,24412043000.0,0.606041,0.6369,18,114735.0,0.163675,addition,7.1732782,Q2 2006,FINANCE,13F,09/30/2021,88.644,359.17
Walt disney co. (the),DIS,"",137572834.0,23273195000.0,0.577769,0.5978,19,906774.0,0.663496,addition,7.5708998,Q2 2002,COMMUNICATIONS,13F,09/30/2021,68.4384,157.33
Comcast corp.  class a,CMCSA,"",395385248.0,22113898000.0,0.548988,0.5555,20,3904730.0,0.997426,addition,8.6323137,Q4 2002,COMMUNICATIONS,13F,09/30/2021,27.5332,53.73
