Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Apple inc,AAPL,,1028698316,1.40891E+11,3.91588,3.7873,1,-26307286,-2.493568,reduction,6.2231578,Q3 2007,INFORMATION TECHNOLOGY,13F,6/30/21,35.68,149.8
Microsoft corp.,MSFT,,505662500,1.36984E+11,3.8073,3.5938,2,-12986791,-2.503964,reduction,6.7288066,Q3 2007,INFORMATION TECHNOLOGY,13F,6/30/21,70.92,331.62
Amazon.com inc.,AMZN,,27547904,94769199000,2.63399,2.5473,3,-464942,-1.659746,reduction,5.4395142,Q4 2008,CONSUMER DISCRETIONARY,13F,6/30/21,1048.21,3372.43
Facebook inc,FB,,155424508,54042657000,1.50205,1.3672,4,-2521819,-1.59663,reduction,6.5199978,Q2 2012,COMMUNICATIONS,13F,6/30/21,147.97,323.57
Alphabet inc. class a,GOOGL,,20243978,49431544000,1.37389,1.2463,5,-316041,-1.537163,reduction,6.7236837,Q3 2007,COMMUNICATIONS,13F,6/30/21,888.34,2960.92
Alphabet inc. class c,GOOG,,19114259,47906450000,1.3315,1.1814,6,-318148,-1.637203,reduction,5.9700625,Q2 2014,COMMUNICATIONS,13F,6/30/21,855.58,2965.41
Nvidia corp.,NVDA,,172398256,34483962000,0.95844,0.6988,7,-5723224,-3.213102,reduction,1.729517,Q3 2007,INFORMATION TECHNOLOGY,13F,6/30/21,107.72,255.67
Tesla inc,TSLA,,50452309,34292435000,0.953116,0.9863,8,209946,0.417866,addition,5.0961148,Q3 2010,CONSUMER DISCRETIONARY,13F,6/30/21,227.3004,1114
Johnson & johnson co.,JNJ,,191385110,31528781000,0.876304,0.9162,9,1694112,0.89309,addition,7.2701391,Q3 2007,HEALTH CARE,13F,6/30/21,125.213,162.88
Jpmorgan chase & co. (chemical bank),JPM,,197221105,30675773000,0.852596,0.8874,10,-1134531,-0.571968,reduction,6.6000954,Q3 2007,FINANCE,13F,6/30/21,89.04,169.89
Berkshire hathaway inc class b,BRK.B,,107754172,29947039000,0.832341,0.8145,11,-734887,-0.677384,reduction,8.130101,Q3 2007,FINANCE,13F,6/30/21,169.54,287.01
Visa inc,V,,124221034,29045363000,0.80728,0.787,12,-2249696,-1.778827,reduction,7.34251,Q2 2008,FINANCE,13F,6/30/21,96.24,211.77
Unitedhealth group inc.,UNH,,69027290,27641290000,0.768256,0.7707,13,-1455678,-2.06529,reduction,7.3206086,Q4 2008,HEALTH CARE,13F,6/30/21,172.65,460.47
Ishares core s&p 500 etf,IVV,,61165861,26296426000,0.730877,0.7177,14,-220396,-0.359032,reduction,No Data,Q4 2009,FINANCE,13F,6/30/21,248.15,460.99
